Internal ID,Cohort No,Name,WeChat ID
3780005,1,Rmt,rrrmt1
4125240,1,路过蜻蜓,lqy18810609835
6467910,1,scn,scn960221
7771792,1,扬赟,cherry_akashi
8194629,1,不做暴躁女孩,jiahui--1314
9331127,1,R.C.S,yznRCS
14276185,2,卫果实,wby0209
15312225,2,phantom,n1015857581
16067600,2,蛋清,imwangdangqing
17737049,2,失眠的倒三角,wxy19951129cjy
18845429,2,叶不休,Yee_970611
19949432,2,多芒小丸子,wxid_3y8b2ve5a8pt21
20975559,2,有点小傲娇,jta18867921184
21853588,2,且归,Ggg_000000001
22535066,2,温行止,xujia837
